item_id,name,type,subtype,component_tag,value,questtoken,current_tags,proposed_tags,needs_review,provenance
1,note,readable,blobcontent,,0,,,,,
10,light weighted stone,object,mundane,stone,0,,,,,
11,medium weighted stone,object,mundane,stone,0,,,,,
12,heavy weighted stone,object,mundane,stone,0,,,,,
13,mosaic map,object,mundane,,5,,,,YES,
14,bone totem,object,holdable,,0,,,,,
15,chieftain cache key,key,holdable,,0,,,,,
16,bandit's purse,object,holdable,,0,,,,,
17,road token,object,holdable,,0,,,,,
18,toll receipt,object,holdable,,0,,,,,
19,river stone,object,holdable,,1,,,,YES,
20,inn token,object,holdable,,0,,,,,
21,crossing ledger,object,holdable,,0,,,,,
22,eviction notice,object,holdable,,0,,,,,
23,thornwall pass,object,holdable,,0,,,,,
24,pest sample,object,holdable,,0,,,,,
25,city tax receipt,object,holdable,,0,,,,,
26,bridge repair authorization,object,holdable,,0,,,,,
27,temple incense,object,holdable,,2,,,,YES,
28,tavern meal token,object,holdable,,0,,,,,
29,tithe ledger,object,holdable,,0,,,,,
30,protection notice,object,holdable,,0,,,,,
31,maintenance report,object,holdable,,0,,,,,
32,Salvage Kit,object,,salvage-kit,1,,,,YES,
33,iron lockpicks,lockpicks,,,5,,,,YES,
34,steel lockpicks,lockpicks,,,15,,,blacksmithing,,output of blacksmithing recipe steel-lockpicks
35,master lockpicks,lockpicks,,,50,,,blacksmithing,,output of blacksmithing recipe master-lockpicks
36,basic disarm kit,object,,,30,,,,YES,
37,reinforced disarm kit,object,,,45,,,jewelcrafting,,output of jewelcrafting recipe reinforced-disarm-kit
38,precision disarm kit,object,,,80,,,jewelcrafting,,output of jewelcrafting recipe precision-disarm-kit
50,carved wooden bird,object,mundane,,0,,,,,
51,letter of introduction,object,mundane,,0,,,,,
52,sealed crate,object,mundane,,50,,,,YES,
53,lockpick set,object,mundane,,12,,,,YES,
54,Soren's iron pin,object,mundane,,0,,,,,
10001,sharp stick,weapon,bludgeoning,,1,,,blacksmithing,,weapon → blacksmithing
10002,practice sword,weapon,slashing,,0,,,,,
10003,arena blade,weapon,slashing,,0,,,,,
10004,training bow,weapon,shooting,,0,,,,,
10005,training dagger,weapon,stabbing,,0,,,,,
10006,iron longsword,weapon,slashing,,0,,,,,
10007,heavy greatsword,weapon,slashing,,0,,,,,
10008,steel warhammer,weapon,bludgeoning,,0,,,,,
10009,iron dagger,weapon,stabbing,,15,,,blacksmithing,,output of blacksmithing recipe iron-dagger
10010,crude bone club,weapon,bludgeoning,,0,,,,,
10011,flint spear,weapon,piercing,,0,,,,,
10012,obsidian knife,weapon,slashing,,0,,,,,
10013,thornwall steel dagger,weapon,stabbing,,30,,,blacksmithing,,weapon → blacksmithing
10014,iron short sword,weapon,slashing,,18,,,blacksmithing,,output of blacksmithing recipe iron-short-sword
10015,steel longsword,weapon,slashing,,35,,,blacksmithing,,output of blacksmithing recipe steel-longsword
10016,willow wand,weapon,wand,,40,,,enchanting,,weapon subtype wand → enchanting
10017,iron sceptre,weapon,sceptre,,55,,,enchanting,,weapon subtype sceptre → enchanting
10018,oak staff,weapon,staff,,70,,,enchanting,,weapon subtype staff → enchanting
10019,iron spear,weapon,piercing,,15,,,blacksmithing,,weapon → blacksmithing
10020,walking staff,weapon,bludgeoning,,3,,,blacksmithing,,weapon → blacksmithing
10021,crude short blade,weapon,slashing,,4,,,blacksmithing,,weapon → blacksmithing
10022,sharpened bone,weapon,stabbing,,0,,,,,
10023,smuggler's short blade,weapon,piercing,,12,,,blacksmithing,,weapon → blacksmithing
10024,chrysalis knuckles,weapon,fist,,40,,,blacksmithing,,weapon → blacksmithing
10025,Edrin's gnarled staff,weapon,staff,,200,,,enchanting,,weapon subtype staff → enchanting
10026,bandit's longsword,weapon,slashing,,35,,,blacksmithing,,weapon → blacksmithing
10027,earthshaker warhammer,weapon,bludgeoning,,80,,,blacksmithing,,weapon → blacksmithing
10028,champion mace,weapon,bludgeoning,,65,,,blacksmithing,,weapon → blacksmithing
10029,crystal sceptre,weapon,sceptre,,80,,,enchanting,,weapon subtype sceptre → enchanting
10030,wind scimitar,weapon,slashing,,70,,,blacksmithing,,weapon → blacksmithing
10031,lake-iron hook-spear,weapon,piercing,,60,,,blacksmithing,,output of blacksmithing recipe lake-iron-hook-spear
10032,Elgar's hook-spear,weapon,piercing,,250,,,blacksmithing,,weapon → blacksmithing
10033,marsh gaff hook,weapon,piercing,,18,,,blacksmithing,,weapon → blacksmithing
10034,steppe hunting spear,weapon,piercing,,25,,,blacksmithing,,weapon → blacksmithing
10035,Fernway handaxe,weapon,slashing,,22,,,blacksmithing,,weapon → blacksmithing
20002,cape,back,wearable,,0,,,,,
20003,worn boots,feet,wearable,,0,,,,,
20004,wooden shield,offhand,wearable,,2,,,,YES,
20005,copper ring,ring,wearable,,0,,,,,
20006,tattered pants,legs,wearable,,0,,,,,
20007,rusty pot,head,wearable,,1,,,blacksmithing,,metal armor → blacksmithing
20008,cotton shirt,body,wearable,,1,,,blacksmithing,,metal armor → blacksmithing
20009,cloth belt,belt,wearable,,0,,,,,
20010,iron buckler,offhand,wearable,,12,,,blacksmithing,,output of blacksmithing recipe iron-buckler
20011,chain shirt,body,wearable,,0,,,,,
20016,torn gloves,gloves,wearable,,0,,,,,
20020,linen tunic,body,wearable,,4,,,tailoring,,output of tailoring recipe linen-tunic
20021,cloth pants,legs,wearable,,4,,,tailoring,,output of tailoring recipe cloth-pants
20022,leather vest,body,wearable,,10,,,tailoring,,output of tailoring recipe leather-vest
20023,leather leggings,legs,wearable,,10,,,tailoring,,output of tailoring recipe leather-leggings
20024,wool cloak,back,wearable,,7,,,tailoring,,output of tailoring recipe wool-cloak
20025,leather satchel,belt,wearable,,12,,,tailoring,,output of tailoring recipe leather-satchel
20026,reinforced wooden shield,offhand,wearable,,12,,,blacksmithing,,output of blacksmithing recipe reinforced-wooden-shield
20027,chainmail vest,body,wearable,,25,,,blacksmithing,,output of blacksmithing recipe chainmail-vest
20028,steel buckler,offhand,wearable,,22,,,blacksmithing,,output of blacksmithing recipe steel-buckler
20029,masterwork plate helm,head,wearable,,30,,,blacksmithing,,output of blacksmithing recipe masterwork-plate-helm
20030,copper ring,ring,wearable,,3,,,jewelcrafting,,output of jewelcrafting recipe copper-ring
20031,simple pendant,neck,wearable,,5,,,jewelcrafting,,output of jewelcrafting recipe simple-pendant
20032,polished stone amulet,neck,wearable,,8,,,jewelcrafting,,output of jewelcrafting recipe polished-stone-amulet
20033,silver ring,ring,wearable,,12,,,jewelcrafting,,output of jewelcrafting recipe silver-ring
20034,gem-set necklace,neck,wearable,,18,,,jewelcrafting,,output of jewelcrafting recipe gem-set-necklace
20035,engraved bracelet,wrist,wearable,,15,,,jewelcrafting,,output of jewelcrafting recipe engraved-bracelet
20036,gold signet ring,ring,wearable,,25,,,jewelcrafting,,output of jewelcrafting recipe gold-signet-ring
20037,masterwork gem pendant,neck,wearable,,35,,,jewelcrafting,,output of jewelcrafting recipe masterwork-gem-pendant
20038,stillwater pearl pendant,neck,wearable,,200,,,jewelcrafting,,output of jewelcrafting recipe stillwater-pearl-pendant
20043,graduation cap,head,wearable,,0,,,,,
20044,teaching cap,head,wearable,,0,,,,,
20045,leather apron,body,wearable,,5,,,"blacksmithing,tailoring",,leather armor → blacksmithing+tailoring; leather armor → blacksmithing+tailoring
20046,simple robes,body,wearable,,8,,,tailoring,,cloth armor → tailoring
20047,chain coif,head,wearable,,10,,,blacksmithing,,metal armor → blacksmithing
20048,cured hide scraps,body,wearable,,0,,,,,
20049,warden's tabard,body,wearable,,8,,,blacksmithing,,metal armor → blacksmithing
20050,iron chain leggings,legs,wearable,,14,,,blacksmithing,,metal armor → blacksmithing
20051,iron gauntlets,gloves,wearable,,10,,,blacksmithing,,metal armor → blacksmithing
20052,sturdy leather boots,feet,wearable,,6,,,"blacksmithing,tailoring",,leather armor → blacksmithing+tailoring; leather armor → blacksmithing+tailoring
20053,windstone aegis,offhand,wearable,,250,,,,YES,
20054,leather backpack,back,wearable,,30,,,tailoring,,output of tailoring recipe leather-backpack
20055,reinforced travel pack,back,wearable,,75,,,tailoring,,output of tailoring recipe reinforced-travel-pack
20056,weighted tail cap,tail,wearable,,20,,,,YES,
20057,spiked tail band,tail,wearable,,25,,,,YES,
20058,bladed tail sheath,tail,wearable,,50,,,,YES,
20059,leather bandolier,belt,wearable,,15,,,tailoring,,output of tailoring recipe leather-bandolier
20060,reinforced bandolier,belt,wearable,,35,,,tailoring,,output of tailoring recipe reinforced-bandolier
20061,chitin spaulders,shoulders,wearable,,35,,,blacksmithing,,metal armor → blacksmithing
20062,phantom's wraps,gloves,wearable,,30,,,blacksmithing,,metal armor → blacksmithing
20063,resin-laced bracers,wrist,wearable,,28,,,tailoring,,accessory → tailoring (review)
20064,silkstep boots,feet,wearable,,32,,,blacksmithing,,metal armor → blacksmithing
20065,phantom's cowl,head,wearable,,38,,,blacksmithing,,metal armor → blacksmithing
20066,spellweaver robes,body,wearable,,180,,,tailoring,,cloth armor → tailoring
20067,Soren's ironbound buckler,offhand,wearable,,80,,,,YES,
20068,bandit's leather vest,body,wearable,,20,,,"blacksmithing,tailoring",,leather armor → blacksmithing+tailoring; leather armor → blacksmithing+tailoring
20069,arena tower shield,offhand,wearable,,60,,,,YES,
20070,arena chain gloves,gloves,wearable,,20,,,blacksmithing,,metal armor → blacksmithing
20071,arena iron greaves,legs,wearable,,25,,,blacksmithing,,metal armor → blacksmithing
20072,volcanic plate,body,wearable,,90,,,blacksmithing,,metal armor → blacksmithing
20073,ice crown,head,wearable,,85,,,blacksmithing,,metal armor → blacksmithing
20074,mist pauldrons,shoulders,wearable,,75,,,blacksmithing,,metal armor → blacksmithing
20075,stone ring,ring,wearable,,40,,,jewelcrafting,,jewelry → jewelcrafting
20076,storm bracer,wrist,wearable,,45,,,tailoring,,accessory → tailoring (review)
20077,hunter-eel scale vest,body,wearable,,85,,,tailoring,,output of tailoring recipe hunter-eel-scale-vest
